"","rodada","casa","placar","fora","ano"
"1","1","PAL","1 x 1","POR","2012"
"2","1","SPO","1 x 1","FLA","2012"
"3","1","FIG","2 x 1","NAU","2012"
"4","1","PON","0 x 1","ATL","2012"
"5","1","COR","0 x 1","FLU","2012"
"6","1","BOT","4 x 2","SAO","2012"
"7","1","INT","2 x 0","COR","2012"
"8","1","VAS","2 x 1","GRE","2012"
"9","1","BAH","0 x 0","SAN","2012"
"10","1","CRU","0 x 0","ATL","2012"
"11","2","ATL","1 x 1","PON","2012"
"12","2","FLA","3 x 3","INT","2012"
"13","2","POR","0 x 1","VAS","2012"
"14","2","NAU","0 x 0","CRU","2012"
"15","2","SAN","0 x 0","SPO","2012"
"16","2","ATL","1 x 0","COR","2012"
"17","2","COR","2 x 3","BOT","2012"
"18","2","SAO","1 x 0","BAH","2012"
"19","2","GRE","1 x 0","PAL","2012"
"20","2","FLU","2 x 2","FIG","2012"
"21","3","ATL","0 x 1","GRE","2012"
"22","3","SPO","2 x 1","PAL","2012"
"23","3","VAS","4 x 2","NAU","2012"
"24","3","ATL","1 x 1","BAH","2012"
"25","3","COR","2 x 0","POR","2012"
"26","3","PON","2 x 2","FLA","2012"
"27","3","INT","1 x 0","SAO","2012"
"28","3","SAN","1 x 1","FLU","2012"
"29","3","COR","1 x 1","FIG","2012"
"30","3","BOT","2 x 3","CRU","2012"
"31","4","FLA","3 x 1","COR","2012"
"32","4","PAL","0 x 1","ATL","2012"
"33","4","POR","2 x 0","ATL","2012"
"34","4","GRE","2 x 0","COR","2012"
"35","4","FLU","0 x 0","INT","2012"
"36","4","BAH","1 x 2","VAS","2012"
"37","4","NAU","3 x 2","BOT","2012"
"38","4","FIG","0 x 0","PON","2012"
"39","4","CRU","1 x 0","SPO","2012"
"40","4","SAO","1 x 0","SAN","2012"
"41","5","INT","1 x 2","BOT","2012"
"42","5","CRU","1 x 0","FIG","2012"
"43","5","FLU","4 x 1","POR","2012"
"44","5","SAO","1 x 0","ATL","2012"
"45","5","PAL","1 x 1","VAS","2012"
"46","5","BAH","2 x 1","SPO","2012"
"47","5","FLA","1 x 0","SAN","2012"
"48","5","NAU","1 x 0","GRE","2012"
"49","5","COR","3 x 0","ATL","2012"
"50","5","PON","1 x 0","COR","2012"
"51","6","VAS","1 x 3","CRU","2012"
"52","6","POR","1 x 0","SAO","2012"
"53","6","ATL","5 x 1","NAU","2012"
"54","6","COR","2 x 1","PAL","2012"
"55","6","GRE","2 x 0","FLA","2012"
"56","6","FIG","1 x 1","BAH","2012"
