"datetime","home_team","home_team_state","away_team","away_team_state","home_goal","away_goal","season","round"
2012-05-19 18:30:00,"Palmeiras-SP","SP","Portuguesa-SP","SP",1,1,2012,1
2012-05-19 18:30:00,"Sport-PE","PE","Flamengo-RJ","RJ",1,1,2012,1
2012-05-19 21:00:00,"Figueirense-SC","SC","Nautico-PE","PE",2,1,2012,1
2012-05-20 16:00:00,"Ponte Preta-SP","SP","Atletico-MG","MG",0,1,2012,1
2012-05-20 16:00:00,"Corinthians-SP","SP","Fluminense-RJ","RJ",0,1,2012,1
2012-05-20 16:00:00,"Botafogo-RJ","RJ","Sao Paulo-SP","SP",4,2,2012,1
2012-05-20 16:00:00,"Internacional-RS","RS","Coritiba-PR","PR",2,0,2012,1
2012-05-20 18:30:00,"Vasco da Gama-RJ","RJ","Gremio-RS","RS",2,1,2012,1
2012-05-20 18:30:00,"Bahia-BA","BA","Santos-SP","SP",0,0,2012,1
2012-05-20 18:30:00,"Cruzeiro-MG","MG","Atletico-GO","GO",0,0,2012,1
2012-05-26 18:30:00,"Atletico-GO","GO","Ponte Preta-SP","SP",1,1,2012,2
2012-05-26 18:30:00,"Flamengo-RJ","RJ","Internacional-RS","RS",3,3,2012,2
2012-05-26 18:30:00,"Portuguesa-SP","SP","Vasco da Gama-RJ","RJ",0,1,2012,2
2012-05-26 21:00:00,"Nautico-PE","PE","Cruzeiro-MG","MG",0,0,2012,2
2012-05-27 16:00:00,"Santos-SP","SP","Sport-PE","PE",0,0,2012,2
2012-05-27 16:00:00,"Atletico-MG","MG","Corinthians-SP","SP",1,0,2012,2
2012-05-27 16:00:00,"Coritiba-PR","PR","Botafogo-RJ","RJ",2,3,2012,2
2012-05-27 16:00:00,"Sao Paulo-SP","SP","Bahia-BA","BA",1,0,2012,2
2012-05-27 18:30:00,"Gremio-RS","RS","Palmeiras-SP","SP",1,0,2012,2
2012-05-27 18:30:00,"Fluminense-RJ","RJ","Figueirense-SC","SC",2,2,2012,2
2012-06-06 19:30:00,"Atletico-GO","GO","Gremio-RS","RS",0,1,2012,3
2012-06-06 19:30:00,"Sport-PE","PE","Palmeiras-SP","SP",2,1,2012,3
2012-06-06 20:30:00,"Vasco da Gama-RJ","RJ","Nautico-PE","PE",4,2,2012,3
2012-06-06 20:30:00,"Atletico-MG","MG","Bahia-BA","BA",1,1,2012,3
2012-06-06 20:30:00,"Coritiba-PR","PR","Portuguesa-SP","SP",2,0,2012,3
2012-06-06 21:50:00,"Ponte Preta-SP","SP","Flamengo-RJ","RJ",2,2,2012,3
2012-06-06 21:50:00,"Internacional-RS","RS","Sao Paulo-SP","SP",1,0,2012,3
2012-06-06 21:50:00,"Santos-SP","SP","Fluminense-RJ","RJ",1,1,2012,3
2012-06-07 21:00:00,"Corinthians-SP","SP","Figueirense-SC","SC",1,1,2012,3
2012-06-07 21:00:00,"Botafogo-RJ","RJ","Cruzeiro-MG","MG",2,3,2012,3
2012-06-09 18:30:00,"Flamengo-RJ","RJ","Coritiba-PR","PR",3,1,2012,4
2012-06-09 21:00:00,"Palmeiras-SP","SP","Atletico-MG","MG",0,1,2012,4
2012-06-10 16:00:00,"Portuguesa-SP","SP","Atletico-GO","GO",2,0,2012,4
2012-06-10 17:00:00,"Gremio-RS","RS","Corinthians-SP","SP",2,0,2012,4
2012-06-10 17:00:00,"Fluminense-RJ","RJ","Internacional-RS","RS",0,0,2012,4
2012-06-10 17:00:00,"Bahia-BA","BA","Vasco da Gama-RJ","RJ",1,2,2012,4
2012-06-10 18:30:00,"Nautico-PE","PE","Botafogo-RJ","RJ",3,2,2012,4
2012-06-10 18:30:00,"Figueirense-SC","SC","Ponte Preta-SP","SP",0,0,2012,4
2012-06-10 18:30:00,"Cruzeiro-MG","MG","Sport-PE","PE",1,0,2012,4
2012-06-10 18:30:00,"Sao Paulo-SP","SP","Santos-SP","SP",1,0,2012,4
2012-06-16 18:30:00,"Internacional-RS","RS","Botafogo-RJ","RJ",1,2,2012,5
2012-06-16 18:30:00,"Cruzeiro-MG","MG","Figueirense-SC","SC",1,0,2012,5
2012-06-16 21:00:00,"Fluminense-RJ","RJ","Portuguesa-SP","SP",4,1,2012,5
2012-06-17 16:00:00,"Sao Paulo-SP","SP","Atletico-MG","MG",1,0,2012,5
2012-06-17 16:00:00,"Palmeiras-SP","SP","Vasco da Gama-RJ","RJ",1,1,2012,5
2012-06-17 16:00:00,"Bahia-BA","BA","Sport-PE","PE",2,1,2012,5
2012-06-17 16:00:00,"Flamengo-RJ","RJ","Santos-SP","SP",1,0,2012,5
2012-06-17 18:30:00,"Nautico-PE","PE","Gremio-RS","RS",1,0,2012,5
2012-06-17 18:30:00,"Coritiba-PR","PR","Atletico-GO","GO",3,0,2012,5
2012-06-17 18:30:00,"Ponte Preta-SP","SP","Corinthians-SP","SP",1,0,2012,5
2012-06-23 18:30:00,"Vasco da Gama-RJ","RJ","Cruzeiro-MG","MG",1,3,2012,6
2012-06-23 18:30:00,"Portuguesa-SP","SP","Sao Paulo-SP","SP",1,0,2012,6
2012-06-23 21:00:00,"Atletico-MG","MG","Nautico-PE","PE",5,1,2012,6
2012-06-24 16:00:00,"Corinthians-SP","SP","Palmeiras-SP","SP",2,1,2012,6
2012-06-24 16:00:00,"Gremio-RS","RS","Flamengo-RJ","RJ",2,0,2012,6
2012-06-24 16:00:00,"Figueirense-SC","SC","Bahia-BA","BA",1,1,2012,6
2012-06-24 18:30:00,"Sport-PE","PE","Internacional-RS","RS",0,2,2012,6
2012-06-24 18:30:00,"Botafogo-RJ","RJ","Ponte Preta-SP","SP",1,2,2012,6
2012-06-24 18:30:00,"Santos-SP","SP","Coritiba-PR","PR",2,2,2012,6
2012-06-24 18:30:00,"Atletico-GO","GO","Fluminense-RJ","RJ",1,4,2012,6
2012-06-30 16:20:00,"Nautico-PE","PE","Fluminense-RJ","RJ",0,2,2012,7
2012-06-30 16:20:00,"Cruzeiro-MG","MG","Sao Paulo-SP","SP",2,3,2012,7
2012-06-30 18:30:00,"Vasco da Gama-RJ","RJ","Ponte Preta-SP","SP",3,2,2012,7
2012-07-01 16:00:00,"Coritiba-PR","PR","Sport-PE","PE",2,3,2012,7
2012-07-01 16:00:00,"Portuguesa-SP","SP","Santos-SP","SP",0,0,2012,7
2012-07-01 16:00:00,"Bahia-BA","BA","Internacional-RS","RS",1,1,2012,7
2012-07-01 18:30:00,"Gremio-RS","RS","Atletico-MG","MG",0,1,2012,7
2012-07-01 18:30:00,"Palmeiras-SP","SP","Figueirense-SC","SC",3,1,2012,7
2012-07-01 18:30:00,"Flamengo-RJ","RJ","Atletico-GO","GO",3,2,2012,7
2012-07-11 19:30:00,"Corinthians-SP","SP","Botafogo-RJ","RJ",1,3,2012,7
2012-07-07 18:30:00,"Botafogo-RJ","RJ","Bahia-BA","BA",3,0,2012,8
2012-07-07 18:30:00,"Internacional-RS","RS","Cruzeiro-MG","MG",2,1,2012,8
2012-07-07 21:00:00,"Atletico-GO","GO","Nautico-PE","PE",0,1,2012,8
2012-07-08 16:00:00,"Figueirense-SC","SC","Vasco da Gama-RJ","RJ",1,1,2012,8
2012-07-08 16:00:00,"Fluminense-RJ","RJ","Flamengo-RJ","RJ",1,0,2012,8
2012-07-08 16:00:00,"Santos-SP","SP","Gremio-RS","RS",4,2,2012,8
2012-07-08 16:00:00,"Sao Paulo-SP","SP","Coritiba-PR","PR",3,1,2012,8
2012-07-08 18:30:00,"Ponte Preta-SP","SP","Palmeiras-SP","SP",1,0,2012,8
