"round","datetime","home_team","away_team","home_goal","away_goal","season"
"1",2012-03-07 16:00:00,"Boavista Sport Club (antigo Esporte Clube Barreira) - RJ","América - MG",0,0,2012
"1",2012-03-14 20:30:00,"América - MG","Boavista Sport Club (antigo Esporte Clube Barreira) - RJ",2,1,2012
"1",2012-03-07 19:30:00,"Gama - DF","Ceará - CE",0,2,2012
"1",2012-03-07 20:30:00,"Aquidauanense Futebol Clube - MS","Bahia de Feira - BA",1,0,2012
"1",2012-03-14 20:30:00,"Bahia de Feira - BA","Aquidauanense Futebol Clube - MS",2,0,2012
"1",2012-03-07 20:30:00,"Real Noroeste Capixaba - ES","Betim - MG",0,2,2012
"1",2012-03-07 20:30:00,"Horizonte - CE","América - RN",2,0,2012
"1",2012-03-14 20:30:00,"América - RN","Horizonte - CE",2,0,2012
"1",2012-03-07 20:30:00,"Trem - AP","A.b.c. - RN",0,5,2012
"1",2012-03-07 20:30:00,"Operario Ferroviario Esporte C - PR","Juventude - RS",0,4,2012
"1",2012-03-07 20:30:00,"Luverdense - MT","Paraná - PR",2,2,2012
"1",2012-03-14 20:30:00,"Paraná - PR","Luverdense - MT",2,0,2012
"1",2012-03-07 20:30:00,"Gurupi - TO","Atlético - GO",0,1,2012
"1",2012-03-15 20:30:00,"Atlético - GO","Gurupi - TO",4,2,2012
"1",2012-03-07 20:30:00,"Real - RR","Remo - PA",0,0,2012
"1",2012-03-14 20:30:00,"Remo - PA","Real - RR",3,0,2012
"1",2012-03-07 20:30:00,"Brasiliense - DF","Guarani - SP",2,0,2012
"1",2012-03-14 20:30:00,"Guarani - SP","Brasiliense - DF",3,0,2012
"1",2012-03-07 20:30:00,"Espigão - RO","Paysandu - PA",1,3,2012
"1",2012-03-07 20:30:00,"Sampaio Correa - MA","Atlético - PR",2,1,2012
"1",2012-03-15 19:30:00,"Atlético - PR","Sampaio Correa - MA",1,0,2012
"1",2012-03-07 22:00:00,"Auto Esporte - PB","Bahia - BA",0,3,2012
"1",2012-03-07 22:00:00,"Penarol - AM","Santa Cruz - PE",1,2,2012
"1",2012-03-14 20:30:00,"Santa Cruz - PE","Penarol - AM",2,3,2012
"1",2012-03-07 22:00:00,"Comercial - PI","Fortaleza - CE",2,3,2012
"1",2012-03-21 20:30:00,"Fortaleza - CE","Comercial - PI",3,0,2012
"1",2012-03-07 22:00:00,"Independente - PA","São Paulo - SP",0,1,2012
"1",2012-03-14 19:30:00,"São Paulo - SP","Independente - PA",4,0,2012
"1",2012-03-07 22:00:00,"River Plate - SE","Grêmio - RS",2,3,2012
"1",2012-03-21 19:30:00,"Grêmio - RS","River Plate - SE",3,1,2012
"1",2012-03-07 22:00:00,"Rio Branco - AC","Cruzeiro - MG",0,6,2012
"1",2012-03-08 19:30:00,"Paulista Futebol Clube - SP","Goiás - GO",2,3,2012
"1",2012-03-21 20:30:00,"Goiás - GO","Paulista Futebol Clube - SP",3,0,2012
"1",2012-03-08 20:30:00,"Sao Domingos Futebol Clube - SE","Vitória - BA",0,0,2012
"1",2012-03-14 20:30:00,"Vitória - BA","Sao Domingos Futebol Clube - SE",2,0,2012
"1",2012-03-08 21:50:00,"Cuiabá - MT","Portuguesa - SP",1,1,2012
"1",2012-03-21 19:30:00,"Portuguesa - SP","Cuiabá - MT",4,0,2012
"1",2012-03-14 15:45:00,"Santa Quiteria Futebol Clube - MA","A.s.a. - AL",2,3,2012
"1",2012-03-21 20:30:00,"A.s.a. - AL","Santa Quiteria Futebol Clube - MA",2,1,2012
"1",2012-03-14 16:00:00,"Madureira - RJ","Criciuma - SC",0,2,2012
"1",2012-03-14 19:30:00,"Gremio Esportivo Sapucaiense - RS","Ponte Preta - SP",0,0,2012
"1",2012-03-21 19:30:00,"Ponte Preta - SP","Gremio Esportivo Sapucaiense - RS",5,2,2012
"1",2012-03-14 20:30:00,"Nacional - AM","Coritiba - PR",0,0,2012
"1",2012-03-22 19:30:00,"Coritiba - PR","Nacional - AM",2,0,2012
"1",2012-03-14 20:30:00,"Sao Mateus Es - ES","Chapecoense - SC",2,1,2012
"1",2012-03-21 20:30:00,"Chapecoense - SC","Sao Mateus Es - ES",3,1,2012
"1",2012-03-14 22:00:00,"Coruripe - AL","Palmeiras - SP",0,1,2012
"1",2012-03-21 19:30:00,"Palmeiras - SP","Coruripe - AL",3,0,2012
"1",2012-03-14 22:00:00,"Cene - MS","Atlético - MG",1,3,2012
"1",2012-03-14 22:00:00,"Treze - PB","Botafogo - RJ",1,1,2012
"1",2012-03-21 22:00:00,"Botafogo - RJ","Treze - PB",1,1,2012
"1",2012-03-14 22:00:00,"Iv de Julho - PI","Sport - PE",0,2,2012
"1",2012-03-15 22:00:00,"Santa Cruz - RN","Náutico - PE",1,3,2012
"2",2012-04-04 19:30:00,"Betim - MG","Grêmio - RS",0,1,2012
"2",2012-04-11 19:30:00,"Grêmio - RS","Betim - MG",3,0,2012
"2",2012-04-04 20:30:00,"A.s.a. - AL","Coritiba - PR",1,0,2012
"2",2012-04-11 19:30:00,"Coritiba - PR","A.s.a. - AL",3,0,2012
"2",2012-04-04 20:30:00,"Juventude - RS","Portuguesa - SP",2,0,2012
"2",2012-04-12 19:30:00,"Portuguesa - SP","Juventude - RS",4,0,2012
"2",2012-04-04 21:50:00,"Horizonte - CE","Palmeiras - SP",1,3,2012
"2",2012-04-04 21:50:00,"Guarani - SP","Botafogo - RJ",1,2,2012
"2",2012-04-18 21:50:00,"Botafogo - RJ","Guarani - SP",0,0,2012
"2",2012-04-04 21:50:00,"Paysandu - PA","Sport - PE",2,1,2012
"2",2012-04-11 22:00:00,"Sport - PE","Paysandu - PA",1,4,2012
"2",2012-04-04 21:50:00,"América - MG","Goiás - GO",0,0,2012
"2",2012-04-11 22:00:00,"Goiás - GO","América - MG",4,3,2012
"2",2012-04-05 19:30:00,"Criciuma - SC","Atlético - PR",1,2,2012
