"datetime","home_team","away_team","home_goal","away_goal","season","stage"
2013-02-12 20:15:00,"Nacional (URU)","Barcelona-EQU","2","2",2013,"group stage"
2013-02-13 22:00:00,"Boca Juniors","Toluca","1","2",2013,"group stage"
2013-02-19 23:45:00,"Toluca","Nacional (URU)","2","3",2013,"group stage"
2013-02-27 19:45:00,"Barcelona-EQU","Boca Juniors","1","2",2013,"group stage"
2013-03-07 00:15:00,"Toluca","Barcelona-EQU","1","1",2013,"group stage"
2013-03-07 21:30:00,"Boca Juniors","Nacional (URU)","0","1",2013,"group stage"
2013-03-13 19:45:00,"Barcelona-EQU","Toluca","0","0",2013,"group stage"
2013-03-14 19:15:00,"Nacional (URU)","Boca Juniors","0","1",2013,"group stage"
2013-04-03 19:45:00,"Boca Juniors","Barcelona-EQU","1","0",2013,"group stage"
2013-04-04 19:15:00,"Nacional (URU)","Toluca","4","0",2013,"group stage"
2013-04-17 19:45:00,"Barcelona-EQU","Nacional (URU)","1","0",2013,"group stage"
2013-04-17 19:45:00,"Toluca","Boca Juniors","3","2",2013,"group stage"
2013-02-14 22:00:00,"Palmeiras","Sporting Cristal","2","1",2013,"group stage"
2013-02-21 21:30:00,"Tigre","Libertad","0","2",2013,"group stage"
2013-02-28 17:00:00,"Sporting Cristal","Tigre","2","0",2013,"group stage"
2013-02-28 19:15:00,"Libertad","Palmeiras","2","0",2013,"group stage"
2013-03-06 19:45:00,"Libertad","Sporting Cristal","2","2",2013,"group stage"
2013-03-06 19:45:00,"Tigre","Palmeiras","1","0",2013,"group stage"
2013-03-12 19:15:00,"Sporting Cristal","Libertad","1","1",2013,"group stage"
2013-04-02 21:30:00,"Palmeiras","Tigre","2","0",2013,"group stage"
2013-04-09 21:30:00,"Tigre","Sporting Cristal","3","1",2013,"group stage"
2013-04-11 19:15:00,"Palmeiras","Libertad","1","0",2013,"group stage"
2013-04-18 19:45:00,"Libertad","Tigre","3","5",2013,"group stage"
2013-04-18 19:45:00,"Sporting Cristal","Palmeiras","1","0",2013,"group stage"
2013-02-13 22:00:00,"Atlético-MG","São Paulo","2","1",2013,"group stage"
2013-02-14 22:00:00,"The Strongest","Arsenal Sarandí","2","1",2013,"group stage"
2013-02-26 21:45:00,"Arsenal Sarandí","Atlético-MG","2","5",2013,"group stage"
2013-02-28 21:30:00,"São Paulo","The Strongest","2","1",2013,"group stage"
2013-03-07 19:15:00,"São Paulo","Arsenal Sarandí","1","1",2013,"group stage"
2013-03-07 21:30:00,"Atlético-MG","The Strongest","2","1",2013,"group stage"
2013-03-13 22:00:00,"The Strongest","Atlético-MG","1","2",2013,"group stage"
2013-03-14 21:30:00,"Arsenal Sarandí","São Paulo","2","1",2013,"group stage"
2013-04-03 22:00:00,"Atlético-MG","Arsenal Sarandí","5","2",2013,"group stage"
2013-04-04 21:30:00,"The Strongest","São Paulo","2","1",2013,"group stage"
2013-04-17 22:00:00,"Arsenal Sarandí","The Strongest","2","1",2013,"group stage"
2013-04-17 22:00:00,"São Paulo","Atlético-MG","2","0",2013,"group stage"
2013-02-12 22:30:00,"Emelec","Vélez Sarsfield","1","0",2013,"group stage"
2013-02-13 19:30:00,"Deportes Iquique","Peñarol","1","2",2013,"group stage"
2013-02-19 19:15:00,"Peñarol","Emelec","1","0",2013,"group stage"
2013-02-20 19:45:00,"Vélez Sarsfield","Deportes Iquique","3","0",2013,"group stage"
2013-02-26 19:30:00,"Peñarol","Vélez Sarsfield","0","1",2013,"group stage"
2013-02-27 19:45:00,"Deportes Iquique","Emelec","2","0",2013,"group stage"
2013-03-05 23:45:00,"Emelec","Deportes Iquique","2","1",2013,"group stage"
2013-03-12 19:15:00,"Vélez Sarsfield","Peñarol","3","1",2013,"group stage"
2013-04-02 19:15:00,"Deportes Iquique","Vélez Sarsfield","1","3",2013,"group stage"
2013-04-02 23:45:00,"Emelec","Peñarol","2","0",2013,"group stage"
2013-04-09 19:15:00,"Peñarol","Deportes Iquique","3","0",2013,"group stage"
2013-04-09 19:15:00,"Vélez Sarsfield","Emelec","0","0",2013,"group stage"
2013-02-19 21:30:00,"Millonarios","Tijuana","0","1",2013,"group stage"
2013-02-20 22:00:00,"San José","Corinthians","1","1",2013,"group stage"
2013-02-27 00:15:00,"Tijuana","San José","4","0",2013,"group stage"
2013-02-27 22:00:00,"Corinthians","Millonarios","2","0",2013,"group stage"
2013-03-05 21:30:00,"Millonarios","San José","2","1",2013,"group stage"
2013-03-06 22:00:00,"Tijuana","Corinthians","1","0",2013,"group stage"
2013-03-13 22:00:00,"Corinthians","Tijuana","3","0",2013,"group stage"
2013-03-14 21:30:00,"San José","Millonarios","2","0",2013,"group stage"
2013-04-03 19:45:00,"San José","Tijuana","1","1",2013,"group stage"
2013-04-03 22:00:00,"Millonarios","Corinthians","0","1",2013,"group stage"
2013-04-10 22:00:00,"Corinthians","San José","3","0",2013,"group stage"
2013-04-10 22:00:00,"Tijuana","Millonarios","1","0",2013,"group stage"
2013-02-14 00:15:00,"Real Atlético","Ind. Santa Fe","1","1",2013,"group stage"
2013-02-15 00:15:00,"Deportes Tolima","Cerro Porteño","2","1",2013,"group stage"
2013-02-21 19:15:00,"Cerro Porteño","Real Atlético","0","1",2013,"group stage"
2013-02-21 21:30:00,"Ind. Santa Fe","Deportes Tolima","1","1",2013,"group stage"
2013-02-26 21:45:00,"Deportes Tolima","Real Atlético","0","1",2013,"group stage"
2013-03-07 19:15:00,"Cerro Porteño","Ind. Santa Fe","1","2",2013,"group stage"
2013-04-02 19:15:00,"Real Atlético","Deportes Tolima","0","3",2013,"group stage"
2013-04-02 21:30:00,"Ind. Santa Fe","Cerro Porteño","1","0",2013,"group stage"
2013-04-09 21:30:00,"Deportes Tolima","Ind. Santa Fe","1","2",2013,"group stage"
2013-04-10 19:45:00,"Real Atlético","Cerro Porteño","5","1",2013,"group stage"
2013-04-16 21:15:00,"Cerro Porteño","Deportes Tolima","0","0",2013,"group stage"
2013-04-16 21:15:00,"Ind. Santa Fe","Real Atlético","2","0",2013,"group stage"
2013-02-12 22:30:00,"Universidad de Chile","Deportivo Lara","2","0",2013,"group stage"
2013-02-14 19:45:00,"Newells Old Boys","Olimpia-PAR","3","1",2013,"group stage"
2013-02-19 21:30:00,"Olimpia-PAR","Universidad de Chile","3","0",2013,"group stage"
2013-02-21 19:15:00,"Deportivo Lara","Newells Old Boys","2","1",2013,"group stage"
2013-03-05 19:15:00,"Olimpia-PAR","Deportivo Lara","2","2",2013,"group stage"
2013-03-05 19:15:00,"Newells Old Boys","Universidad de Chile","1","2",2013,"group stage"
2013-03-12 21:30:00,"Universidad de Chile","Newells Old Boys","0","2",2013,"group stage"
2013-03-13 19:45:00,"Deportivo Lara","Olimpia-PAR","1","5",2013,"group stage"
2013-04-04 19:15:00,"Newells Old Boys","Deportivo Lara","3","1",2013,"group stage"
2013-04-04 21:30:00,"Universidad de Chile","Olimpia-PAR","0","1",2013,"group stage"
2013-04-11 21:30:00,"Deportivo Lara","Universidad de Chile","2","3",2013,"group stage"
2013-04-11 21:30:00,"Olimpia-PAR","Newells Old Boys","4","1",2013,"group stage"
2013-02-13 22:00:00,"Caracas","Fluminense","0","1",2013,"group stage"
2013-02-14 19:45:00,"Grêmio","Huachipato","1","2",2013,"group stage"
2013-02-20 19:45:00,"Huachipato","Caracas","1","3",2013,"group stage"
2013-02-20 22:00:00,"Fluminense","Grêmio","0","3",2013,"group stage"
2013-02-27 22:00:00,"Huachipato","Fluminense","1","2",2013,"group stage"
2013-03-05 21:30:00,"Grêmio","Caracas","4","1",2013,"group stage"
2013-03-06 22:00:00,"Fluminense","Huachipato","1","1",2013,"group stage"
2013-03-12 21:30:00,"Caracas","Grêmio","2","1",2013,"group stage"
2013-04-03 19:45:00,"Caracas","Huachipato","0","4",2013,"group stage"
2013-04-10 22:00:00,"Grêmio","Fluminense","0","0",2013,"group stage"
2013-04-18 22:00:00,"Huachipato","Grêmio","1","1",2013,"group stage"
2013-04-18 22:00:00,"Fluminense","Caracas","1","0",2013,"group stage"
2013-07-17 21:50:00,"Olimpia-PAR","Atlético-MG","2","0",2013,"final"
2013-07-24 21:50:00,"Atlético-MG","Olimpia-PAR","2","0",2013,"final"
2013-07-03 21:50:00,"Newells Old Boys","Atlético-MG","2","0",2013,"semifinals"
2013-07-10 21:50:00,"Atlético-MG","Newells Old Boys","2","0",2013,"semifinals"
2013-07-02 21:50:00,"Olimpia-PAR","Ind. Santa Fe","2","0",2013,"semifinals"
2013-07-09 21:50:00,"Ind. Santa Fe","Olimpia-PAR","1","0",2013,"semifinals"
2013-05-23 21:30:00,"Tijuana","Atlético-MG","2","2",2013,"quarterfinals"
2013-05-30 22:00:00,"Atlético-MG","Tijuana","1","1",2013,"quarterfinals"
2013-05-23 21:30:00,"Boca Juniors","Newells Old Boys","0","0",2013,"quarterfinals"
2013-05-29 19:30:00,"Newells Old Boys","Boca Juniors","0","0",2013,"quarterfinals"
2013-05-22 19:45:00,"Real Atlético","Ind. Santa Fe","1","3",2013,"quarterfinals"
2013-05-28 22:00:00,"Ind. Santa Fe","Real Atlético","2","0",2013,"quarterfinals"
2013-05-22 22:00:00,"Fluminense","Olimpia-PAR","0","0",2013,"quarterfinals"
2013-05-29 22:00:00,"Olimpia-PAR","Fluminense","2","1",2013,"quarterfinals"
2013-05-02 20:15:00,"São Paulo","Atlético-MG","1","2",2013,"round of 16"
