datetime,home_team,home_team_state,away_team,away_team_state,home_goal,away_goal,season,round
2012-05-19T18:30:00Z,Palmeiras-SP,SP,Portuguesa-SP,SP,1,1,2012,1
2012-05-19T18:30:00Z,Sport-PE,PE,Flamengo-RJ,RJ,1,1,2012,1
2012-05-19T21:00:00Z,Figueirense-SC,SC,Nautico-PE,PE,2,1,2012,1
2012-05-20T16:00:00Z,Ponte Preta-SP,SP,Atletico-MG,MG,0,1,2012,1
2012-05-20T16:00:00Z,Corinthians-SP,SP,Fluminense-RJ,RJ,0,1,2012,1
2012-05-20T16:00:00Z,Botafogo-RJ,RJ,Sao Paulo-SP,SP,4,2,2012,1
2012-05-20T16:00:00Z,Internacional-RS,RS,Coritiba-PR,PR,2,0,2012,1
2012-05-20T18:30:00Z,Vasco da Gama-RJ,RJ,Gremio-RS,RS,2,1,2012,1
2012-05-20T18:30:00Z,Bahia-BA,BA,Santos-SP,SP,0,0,2012,1
2012-05-20T18:30:00Z,Cruzeiro-MG,MG,Atletico-GO,GO,0,0,2012,1
2012-05-26T18:30:00Z,Atletico-GO,GO,Ponte Preta-SP,SP,1,1,2012,2
2012-05-26T18:30:00Z,Flamengo-RJ,RJ,Internacional-RS,RS,3,3,2012,2
2012-05-26T18:30:00Z,Portuguesa-SP,SP,Vasco da Gama-RJ,RJ,0,1,2012,2
2012-05-26T21:00:00Z,Nautico-PE,PE,Cruzeiro-MG,MG,0,0,2012,2
2012-05-27T16:00:00Z,Santos-SP,SP,Sport-PE,PE,0,0,2012,2
2012-05-27T16:00:00Z,Atletico-MG,MG,Corinthians-SP,SP,1,0,2012,2
2012-05-27T16:00:00Z,Coritiba-PR,PR,Botafogo-RJ,RJ,2,3,2012,2
2012-05-27T16:00:00Z,Sao Paulo-SP,SP,Bahia-BA,BA,1,0,2012,2
2012-05-27T18:30:00Z,Gremio-RS,RS,Palmeiras-SP,SP,1,0,2012,2
2012-05-27T18:30:00Z,Fluminense-RJ,RJ,Figueirense-SC,SC,2,2,2012,2
2012-06-06T19:30:00Z,Atletico-GO,GO,Gremio-RS,RS,0,1,2012,3
2012-06-06T19:30:00Z,Sport-PE,PE,Palmeiras-SP,SP,2,1,2012,3
2012-06-06T20:30:00Z,Vasco da Gama-RJ,RJ,Nautico-PE,PE,4,2,2012,3
2012-06-06T20:30:00Z,Atletico-MG,MG,Bahia-BA,BA,1,1,2012,3
2012-06-06T20:30:00Z,Coritiba-PR,PR,Portuguesa-SP,SP,2,0,2012,3
2012-06-06T21:50:00Z,Ponte Preta-SP,SP,Flamengo-RJ,RJ,2,2,2012,3
2012-06-06T21:50:00Z,Internacional-RS,RS,Sao Paulo-SP,SP,1,0,2012,3
2012-06-06T21:50:00Z,Santos-SP,SP,Fluminense-RJ,RJ,1,1,2012,3
2012-06-07T21:00:00Z,Corinthians-SP,SP,Figueirense-SC,SC,1,1,2012,3
2012-06-07T21:00:00Z,Botafogo-RJ,RJ,Cruzeiro-MG,MG,2,3,2012,3
2012-06-09T18:30:00Z,Flamengo-RJ,RJ,Coritiba-PR,PR,3,1,2012,4
2012-06-09T21:00:00Z,Palmeiras-SP,SP,Atletico-MG,MG,0,1,2012,4
2012-06-10T16:00:00Z,Portuguesa-SP,SP,Atletico-GO,GO,2,0,2012,4
2012-06-10T17:00:00Z,Gremio-RS,RS,Corinthians-SP,SP,2,0,2012,4
2012-06-10T17:00:00Z,Fluminense-RJ,RJ,Internacional-RS,RS,0,0,2012,4
2012-06-10T17:00:00Z,Bahia-BA,BA,Vasco da Gama-RJ,RJ,1,2,2012,4
2012-06-10T18:30:00Z,Nautico-PE,PE,Botafogo-RJ,RJ,3,2,2012,4
2012-06-10T18:30:00Z,Figueirense-SC,SC,Ponte Preta-SP,SP,0,0,2012,4
2012-06-10T18:30:00Z,Cruzeiro-MG,MG,Sport-PE,PE,1,0,2012,4
2012-06-10T18:30:00Z,Sao Paulo-SP,SP,Santos-SP,SP,1,0,2012,4
2012-06-16T18:30:00Z,Internacional-RS,RS,Botafogo-RJ,RJ,1,2,2012,5
2012-06-16T18:30:00Z,Cruzeiro-MG,MG,Figueirense-SC,SC,1,0,2012,5
2012-06-16T21:00:00Z,Fluminense-RJ,RJ,Portuguesa-SP,SP,4,1,2012,5
2012-06-17T16:00:00Z,Sao Paulo-SP,SP,Atletico-MG,MG,1,0,2012,5
2012-06-17T16:00:00Z,Palmeiras-SP,SP,Vasco da Gama-RJ,RJ,1,1,2012,5
